2023-10-23 18:38:05,0,0
2023-10-23 18:38:18,0.09198,
2023-10-23 18:38:21,0.14751,
2023-10-23 18:38:27,0.17197,
2023-10-23 18:38:29,0.19897,
2023-10-23 18:38:33,0.22589,
2023-10-23 18:39:01,0.22589,0.26825
2023-10-23 18:39:14,0.24155,
2023-10-23 18:39:17,0.27187,
2023-10-23 18:39:20,0.29891,
2023-10-23 18:39:25,0.30206,
2023-10-23 18:39:30,0.32689,
2023-10-23 18:39:57,0.32689,0.309865
2023-10-23 18:40:08,0.33998,
2023-10-23 18:40:12,0.35469,
2023-10-23 18:40:17,0.37629,
2023-10-23 18:40:22,0.38979,
2023-10-23 18:40:26,0.40047,
2023-10-23 18:40:52,0.40047,0.3529
2023-10-23 18:41:04,0.42396,
2023-10-23 18:41:08,0.44028,
2023-10-23 18:41:13,0.47491,
2023-10-23 18:41:18,0.50503,
2023-10-23 18:41:20,0.53122,
2023-10-23 18:41:47,0.53122,0.41874
2023-10-23 18:41:59,0.55401,
2023-10-23 18:42:03,0.57382,
2023-10-23 18:42:08,0.59106,
2023-10-23 18:42:13,0.60605,
2023-10-23 18:42:15,0.61909,0.46549